n_neighbors,algorithm,weights,p,metric,result
6,kd_tree,uniform,2,euclidean,0.35
6,kd_tree,distance,2,euclidean,0.35
6,kd_tree,uniform,3,euclidean,0.35
6,kd_tree,distance,3,euclidean,0.35
7,kd_tree,uniform,1,euclidean,0.4
7,kd_tree,distance,1,euclidean,0.35
7,kd_tree,uniform,2,euclidean,0.4
7,kd_tree,distance,2,euclidean,0.35
7,kd_tree,uniform,3,euclidean,0.4
7,kd_tree,distance,3,euclidean,0.35
8,kd_tree,uniform,1,euclidean,0.35
8,kd_tree,distance,1,euclidean,0.3
8,kd_tree,uniform,2,euclidean,0.35
8,kd_tree,distance,2,euclidean,0.3
8,kd_tree,uniform,3,euclidean,0.35
8,kd_tree,distance,3,euclidean,0.3
9,kd_tree,uniform,1,euclidean,0.35
9,kd_tree,distance,1,euclidean,0.3
9,kd_tree,uniform,2,euclidean,0.35
9,kd_tree,distance,2,euclidean,0.3
9,kd_tree,uniform,3,euclidean,0.35
9,kd_tree,distance,3,euclidean,0.3
3,kd_tree,uniform,1,manhattan,0.4
3,kd_tree,distance,1,manhattan,0.5
3,kd_tree,uniform,2,manhattan,0.4
3,kd_tree,distance,2,manhattan,0.5
3,kd_tree,uniform,3,manhattan,0.4
3,kd_tree,distance,3,manhattan,0.5
4,kd_tree,uniform,1,manhattan,0.4
4,kd_tree,distance,1,manhattan,0.3
4,kd_tree,uniform,2,manhattan,0.4
4,kd_tree,distance,2,manhattan,0.3
4,kd_tree,uniform,3,manhattan,0.4
4,kd_tree,distance,3,manhattan,0.3
5,kd_tree,uniform,1,manhattan,0.4
5,kd_tree,distance,1,manhattan,0.35
5,kd_tree,uniform,2,manhattan,0.4
5,kd_tree,distance,2,manhattan,0.35
5,kd_tree,uniform,3,manhattan,0.4
5,kd_tree,distance,3,manhattan,0.35
6,kd_tree,uniform,1,manhattan,0.3
6,kd_tree,distance,1,manhattan,0.4
6,kd_tree,uniform,2,manhattan,0.3
6,kd_tree,distance,2,manhattan,0.4
6,kd_tree,uniform,3,manhattan,0.3
6,kd_tree,distance,3,manhattan,0.4
7,kd_tree,uniform,1,manhattan,0.4
7,kd_tree,distance,1,manhattan,0.3
7,kd_tree,uniform,2,manhattan,0.4
7,kd_tree,distance,2,manhattan,0.3
7,kd_tree,uniform,3,manhattan,0.4
7,kd_tree,distance,3,manhattan,0.3
