id,budget,revenue
11531,15000000,47737094
4327,93000000,264105545
9678,85000000,58292295
11978,32000000,82343495
8870,80000000,15983079
681,7200000,72200000
8452,82000000,96085477
8871,123000000,345141403
16340,30000000,103291131
10481,85000000,116654745
10876,13500000,17989227
9741,75000000,249511339
146,17000000,213525736
11849,45000000,18586724
11983,65000000,62761005
11678,75000000,215663859
708,30000000,140000000
2604,14000000,161001698
11064,20000000,45833132
392,25000000,152699946
8859,13000000,73180723
11688,100000000,169327687
12509,6000000,10558970
3981,70000000,374111707
711,43000000,80049764
2046,10000000,32558964
8358,90000000,429632142
5994,60000000,124745083
1493,45000000,212742720
134,26000000,71868327
10577,54000000,47053625
21355,57000000,18133495
11973,80000000,66579890
1900,48000000,207515725
9989,30000000,6867516
9816,13000000,131706809
5955,35000000,29419291
2018,35000000,94728529
96,28000000,300000000
90,14000000,316360478
12506,29000000,25899797
10110,35000000,66700000
764,350000,29400000
580,23000000,51881013
10984,10000000,16300000
9740,87000000,351692268
16300,49000000,71186502
1921,40000000,65754228
23685,75000000,2210366
6073,57000000,147845033
2749,60000000,56359980
1888,3705000,6800000
9594,15000000,80500000
853,68000000,96976270
10877,50000000,79958599
77,9000000,39723096
10054,35000000,35215179
2575,18000000,14278720
2043,60000000,105178561
4133,53000000,83282296
10991,16000000,68411275
634,25000000,281929795
9290,21150000,39438674
111,25000000,65884703
12484,15000000,1416400
24113,90000000,10364769
1734,98000000,433013274
8095,31115000,62000000
25221,40000000,23202444
9062,2200000,136400000
9476,65000000,117487473
808,60000000,484409218
824,50000000,179213434
676,140000000,449220945
43329,1240000,6000000
1406,27000000,179033791
21876,5760000,13975000
11090,47000000,84772742
9397,80000000,98376292
9705,102000000,147080413
1089,24000000,97000000
10297,1870000,8000000
31935,6250000,1590000
10865,120000000,101997253
1995,115000000,274703340
10808,70000000,176104344
9799,38000000,207283925
644,100000000,235927000
10992,60000000,200687492
2140,25000000,27592723
4248,45000000,69911681
16211,6500000,23000000
18030,410000,952000
9462,130000,1157316
2114,137000000,53000000
8835,18000000,141774679
11371,68000000,113579918
19382,20000000,51684798
7520,20000000,171504781
9602,39000000,288800000
10130,22000000,61149479
49365,4700000,7000000
12144,12500000,84460846
9493,15000000,104700000
11352,31000000,74134790
4105,30000000,134212055
9085,30000000,35000000
10345,17000000,78247647
9494,7500000,296999813
331,93000000,368780809
11467,46000000,138191428
1548,7000000,8761393
869,100000000,362211740
12150,19000000,110879513
2616,15000000,79258538
2057,42000000,18868099
9880,26000000,165335153
5175,90000000,347325802
2770,30000000,142405000
1933,17000000,209947037
13496,35000000,13601109
1722,57000000,36569000
9896,48000000,85498534
8922,10000000,21313614
12508,57000000,19334145
10696,22000000,5271666
2034,45000000,104876233
11576,9400000,60000000
12103,50000000,100020092
9398,28000000,60780981
10866,23000000,37000000
9778,28000000,77516304
40220,300000,35000000
3172,75000000,67631903
1018,15000000,12892096
768,35000000,38700761
2100,72000000,27642707
11091,48000000,5577772
167,68000000,65001485
9378,42000000,68467960
11457,27000000,5920746
11456,75000000,59249294
585,115000000,131600000
10796,49000000,28783380
9889,40000000,141069860
671,125000000,974755371
1535,115000000,143049560
1999,1700000,43368779
8738,12000000,56647800
8007,40000000,91753222
161,85000000,184000000
11397,15000000,28216048
1903,68000000,203388341
9428,21000000,71441250
12589,30000000,102992536
11232,48000000,76019048
120,93000000,871530324
11086,72000000,37317558
453,58000000,313542341
12593,850000,90000000
37257,3000000,9000000
8489,107000000,87713825
855,92000000,172989651
5279,19800000,87754044
10950,22000000,57506287
6440,35000000,24690441
11595,38000000,153518974
61934,1748000,2150000
848,18000000,14914786
9610,18000000,100042035
11888,35000000,115035090
10423,14000000,63512679
11362,35000000,75395048
2637,32000000,55157539
9884,85000000,25900000
11535,70000000,25852764
11212,50000000,27371505
17130,12000000,61141030
10592,70000000,13209403
8470,36000000,102244770
16690,20000000,23900000
9272,17000000,60417219
32499,1558000,3373000
10052,60000000,21500000
11979,35000000,45479110
2752,17000000,40500000
10590,75000000,114660784
2135,80000000,123729176
425,59000000,188600000
1576,33000000,102441078
5851,85000000,77741732
11006,4300000,300000000
36586,54000000,68500000
4547,48000000,196397415
14635,20000000,80693537
11560,42000000,63781100
1537,45000000,94935764
11812,43000000,68696770
35080,7000000,3646994
8346,5000000,368744044
12154,11000000,242780960
9334,60000000,165333180
11470,11000000,16951798
16643,40000000,16873000
557,139000000,399200000
2251,50000000,122000000
245,30000000,84600000
1894,115000000,649398328
42193,8000000,3200000
1957,38000000,51801187
320,46000000,46359317
9023,80000000,33300000
17734,4500000,3706652
4614,68000000,36700000
3132,70000000,35817134
9583,27000000,4240224
2501,60000000,214034224
9637,84000000,99000000
12100,115000000,34000000
11544,80000000,273144151
180,102000000,196800000
2022,50000000,171269535
21972,30000000,62432423
608,140000000,235200000
6278,60000000,39088201
4147,80000000,181001478
19731,602000,15000000
11442,15000000,7310413
8869,30000000,21700000
8665,100000000,30547160
10996,120000000,99800000
818,63000000,74800000
23728,3525000,28231000
2675,72000000,162000000
9488,38000000,119723358
7451,70000000,277448382
11692,100000000,2683893
9266,30000000,11209000
9357,12000000,19500000
12771,29000000,20146150
9595,26000000,181096164
9941,14000000,91411255
39833,1000000,9000000
15516,90000,10000000
10611,12000000,77063924
4108,21000000,43928932
9685,9000000,2087664
12262,230000,25000000
9034,10000000,38068353
11013,4000000,5244929
129,19000000,274925095
11529,38000000,180622424
10771,60000000,53843625
9533,78000000,209196298
15720,6500000,2006391
12590,40000000,2622015
1809,4000000,11805917
10994,16000000,21229200
1430,4000000,35564473
8051,25000000,6821433
15992,25000000,1574536
565,48000000,100600000
21925,3000000,155640
19403,10000000,86000
11009,3000000,142900000
10805,22000000,127092670
9645,35000000,68349884
9012,5000000,75000000
13440,60000000,7093284
1360,12000000,56298474
12208,12000000,41744718
1941,4000000,21750000
9021,65000000,172855065
65,41000000,242875078
672,100000000,878979634
36669,142000000,431971116
9016,140000000,53700000
16028,17000000,16130385
9932,60000000,54994757
7299,20000000,4155851
17360,10000000,27453418
7303,55000000,24600000
201,60000000,67312826
2755,30000000,22700000
121,94000000,926047111
3131,100000000,103500000
2642,60000000,88000000
14317,25000000,60694737
640,52000000,135400000
1574,45000000,136089214
590,25000000,108846072
423,35000000,120072577
12090,18000000,101564935
10628,60000000,21898898
598,3300000,18062482
34148,2000000,25000000
10727,11000000,14937140
9358,26000000,42729562
1647,46000000,101191884
9027,11000000,20737147
10724,18000000,70687344
9919,50000000,177371441
6038,50000000,88323487
9480,78000000,179179718
14873,20000000,135680000
59401,1640000,1080000
11615,50000000,16971092
11635,24000000,87055349
10623,30000000,56489558
9613,8000000,3821651
10678,33000000,31955288
9567,70000000,86468162
10632,55000000,10782486
10929,22000000,8546666
36362,5037000,25000000
9669,6000000,18686644
9557,20000000,5872571
6171,68000000,40904356
29912,5000000,32000000
10782,50000000,15999250
9341,60000000,41559648
10735,20000000,14622111
8409,36000000,44350926
1817,13000000,97837138
9506,75000000,58689545
14290,250000,3809226
2662,7000000,16829545
11817,52000000,13960630
8326,20000000,71406573
994,3251794,11148828
9930,40000000,93151591
16651,7000000,4760014
10743,15000000,10404230
2832,30000000,38100000
18736,17000000,11273034
36658,110000000,407711549
10708,60000000,52200000
42792,3000000,40000000
604,150000000,742128461
10720,35000000,14000000
310,81000000,484592874
5146,40000000,3905032
12,94000000,921616174
9654,60000000,54548734
9902,12600000,8922208
584,76000000,107376377
21717,4800000,16500000
32489,6000000,40000000
10152,19000000,12512587
20694,25000000,13203787
170,8000000,82719885
9471,120000000,259175788
19957,2600000,8100000
43039,151000,8000000
33454,3500000,6746000
1927,137000000,109405772
10327,45000000,30200000
14411,60000000,40649582
296,200000000,277271324
22,140000000,654264015
8698,78000000,175465204
17920,8000000,5403151
8961,130000000,129300000
9486,35000000,129300000
3472,10000000,4550000
1996,95000000,156505388
4464,87000000,148336445
12279,38000000,197011982
12530,2750000,4500000
8273,55000000,122668512
10330,26000000,160846332
9257,80000000,207725639
6466,30000000,18000000
2055,22000000,68296293
11770,10000000,42776760
10923,26000000,10695398
3055,5000000,50000000
9362,11000000,48572000
10999,10000000,57491000
33521,12164000,31235812
10610,41000000,34268701
2830,14000000,18191005
11351,17000000,27435448
11547,1500000,9395206
7270,62000000,65565672
1428,29000000,41825802
153,4000000,119723856
8408,3500000,34000000
43041,1357000,2750000
277,22000000,95708457
7288,40000000,19322135
10159,85000000,80916492
10934,18000000,58878723
821,3000000,10000000
10438,15000000,118154166
9874,25000000,160000000
7442,19000000,73400000
1584,35000000,131282949
4997,5000000,1405932
322,25000000,8420673
11775,60000000,119940815
24,30000000,180949045
11329,60000000,67338219
9373,9200000,107071655
1550,300000,3272028
10629,17000000,9439660
10944,12000000,18976191
4256,48000000,220673217
