n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,bootstrap,criterion,result
20,3,10,10,10,True,entropy,0.753552264877
10,3,15,2,1,True,entropy,0.758115766963
15,3,15,2,1,True,entropy,0.745513562436
20,3,15,2,1,True,entropy,0.744672964098
10,3,15,3,1,True,entropy,0.754660622684
15,3,15,3,1,True,entropy,0.770917394341
20,3,15,3,1,True,entropy,0.781854916072
10,3,15,5,1,True,entropy,0.774815759323
15,3,15,5,1,True,entropy,0.782242311001
20,3,15,5,1,True,entropy,0.766388813499
10,3,15,10,1,True,entropy,0.769727058868
15,3,15,10,1,True,entropy,0.771465181659
20,3,15,10,1,True,entropy,0.774751437574
10,3,15,2,3,True,entropy,0.768704903457
15,3,15,2,3,True,entropy,0.767429440334
20,3,15,2,3,True,entropy,0.783249515531
10,3,15,3,3,True,entropy,0.777567429178
15,3,15,3,3,True,entropy,0.76956129219
20,3,15,3,3,True,entropy,0.767450187226
10,3,15,5,3,True,entropy,0.768747101966
15,3,15,5,3,True,entropy,0.77818986622
20,3,15,5,3,True,entropy,0.781401864388
10,3,15,10,3,True,entropy,0.728896365322
15,3,15,10,3,True,entropy,0.753573501661
20,3,15,10,3,True,entropy,0.78264495165
10,3,15,2,10,True,entropy,0.735954129045
15,3,15,2,10,True,entropy,0.781297646417
20,3,15,2,10,True,entropy,0.772358705617
10,3,15,3,10,True,entropy,0.750804528205
15,3,15,3,10,True,entropy,0.77371776875
20,3,15,3,10,True,entropy,0.777944837339
10,3,15,5,10,True,entropy,0.777022799612
15,3,15,5,10,True,entropy,0.768655049801
20,3,15,5,10,True,entropy,0.773864138226
10,3,15,10,10,True,entropy,0.736698925415
15,3,15,10,10,True,entropy,0.772335556355
20,3,15,10,10,True,entropy,0.754007763413
10,3,20,2,1,True,entropy,0.77318676637
15,3,20,2,1,True,entropy,0.784210903857
20,3,20,2,1,True,entropy,0.783332547516
10,3,20,3,1,True,entropy,0.765179681727
15,3,20,3,1,True,entropy,0.779248198606
20,3,20,3,1,True,entropy,0.779705549781
10,3,20,5,1,True,entropy,0.772317386715
15,3,20,5,1,True,entropy,0.776152674883
20,3,20,5,1,True,entropy,0.777417088354
10,3,20,10,1,True,entropy,0.776310844518
15,3,20,10,1,True,entropy,0.787358924964
20,3,20,10,1,True,entropy,0.787616493989
10,3,20,2,3,True,entropy,0.788895969979
15,3,20,2,3,True,entropy,0.772475282641
20,3,20,2,3,True,entropy,0.769927728369
10,3,20,3,3,True,entropy,0.759589973072
15,3,20,3,3,True,entropy,0.775329467986
20,3,20,3,3,True,entropy,0.78624560702
10,3,20,5,3,True,entropy,0.755488778709
15,3,20,5,3,True,entropy,0.774441367235
20,3,20,5,3,True,entropy,0.773278057306
10,3,20,10,3,True,entropy,0.791088745264
15,3,20,10,3,True,entropy,0.771695735251
20,3,20,10,3,True,entropy,0.782804508792
10,3,20,2,10,True,entropy,0.780080817898
15,3,20,2,10,True,entropy,0.770469541056
20,3,20,2,10,True,entropy,0.776482143833
10,3,20,3,10,True,entropy,0.777307305192
15,3,20,3,10,True,entropy,0.776369915286
20,3,20,3,10,True,entropy,0.788278594151
10,3,20,5,10,True,entropy,0.762837594961
15,3,20,5,10,True,entropy,0.784321532492
20,3,20,5,10,True,entropy,0.780802577824
10,3,20,10,10,True,entropy,0.759893556809
15,3,20,10,10,True,entropy,0.778097165434
20,3,20,10,10,True,entropy,0.781224777601
10,,1,2,1,True,entropy,0.817613027908
15,,1,2,1,True,entropy,0.844478508067
20,,1,2,1,True,entropy,0.850646363168
10,,1,3,1,True,entropy,0.816347237206
15,,1,3,1,True,entropy,0.843972990547
20,,1,3,1,True,entropy,0.851229242007
10,,1,5,1,True,entropy,0.817858458706
15,,1,5,1,True,entropy,0.834569303638
20,,1,5,1,True,entropy,0.848102670631
10,,1,10,1,True,entropy,0.815290945992
15,,1,10,1,True,entropy,0.821985471637
20,,1,10,1,True,entropy,0.842913756665
10,,1,2,3,True,entropy,0.623416082429
15,,1,2,3,True,entropy,0.660538033755
20,,1,2,3,True,entropy,0.685698061723
10,,1,3,3,True,entropy,0.675743099745
15,,1,3,3,True,entropy,0.662786655386
20,,1,3,3,True,entropy,0.667434519589
10,,1,5,3,True,entropy,0.584497482116
15,,1,5,3,True,entropy,0.673444068515
20,,1,5,3,True,entropy,0.714706192308
10,,1,10,3,True,entropy,0.654259107514
15,,1,10,3,True,entropy,0.661831934885
20,,1,10,3,True,entropy,0.701131181913
10,,1,2,10,True,entropy,0.557542441654
15,,1,2,10,True,entropy,0.691599707324
20,,1,2,10,True,entropy,0.656001314615
10,,1,3,10,True,entropy,0.5732267348
15,,1,3,10,True,entropy,0.61544943293
20,,1,3,10,True,entropy,0.626397741987
10,,1,5,10,True,entropy,0.577910420686
15,,1,5,10,True,entropy,0.692743827565
20,,1,5,10,True,entropy,0.665218100281
10,,1,10,10,True,entropy,0.592765776033
15,,1,10,10,True,entropy,0.621428290467
20,,1,10,10,True,entropy,0.633977405018
10,,3,2,1,True,entropy,0.844927555443
15,,3,2,1,True,entropy,0.866853240511
20,,3,2,1,True,entropy,0.859041984592
10,,3,3,1,True,entropy,0.84581030685
15,,3,3,1,True,entropy,0.874783401472
20,,3,3,1,True,entropy,0.874177631563
10,,3,5,1,True,entropy,0.839836814522
15,,3,5,1,True,entropy,0.866450288981
20,,3,5,1,True,entropy,0.866910504964
10,,3,10,1,True,entropy,0.820978428516
15,,3,10,1,True,entropy,0.83305180265
20,,3,10,1,True,entropy,0.843419722582
10,,3,2,3,True,entropy,0.722240695357
15,,3,2,3,True,entropy,0.770668738869
20,,3,2,3,True,entropy,0.772214996947
10,,3,3,3,True,entropy,0.75631009822
15,,3,3,3,True,entropy,0.742496946557
20,,3,3,3,True,entropy,0.775795798715
10,,3,5,3,True,entropy,0.738541640488
15,,3,5,3,True,entropy,0.755049632329
20,,3,5,3,True,entropy,0.769810448332
10,,3,10,3,True,entropy,0.755618300204
15,,3,10,3,True,entropy,0.752735436299
